Date,Open,High,Low,Close,Adj. Close,Volume
"Mar 10, 2025",844.50,849.95,841.53,843.75,832.50,"15,604,050"
"Mar 7, 2025",841.00,850.58,838.80,844.63,833.36,"13,372,914"
"Mar 6, 2025",843.50,849.95,836.13,845.60,834.32,"32,966,088"
"Mar 5, 2025",850.97,855.40,844.13,845.00,833.73,"21,583,872"
"Mar 4, 2025",849.00,857.15,846.63,855.00,843.60,"19,920,958"
"Mar 3, 2025",869.90,871.53,847.05,850.78,839.43,"21,205,364"
"Feb 28, 2025",842.50,868.63,842.50,866.20,854.65,"54,516,728"
"Feb 27, 2025",841.28,855.38,841.28,850.35,839.01,"35,786,800"
"Feb 25, 2025",835.55,844.00,835.55,841.17,829.96,"24,138,708"
"Feb 24, 2025",840.55,842.10,830.55,838.55,827.37,"20,693,646"
"Feb 21, 2025",840.45,847.47,838.63,846.25,834.96,"15,680,940"
"Feb 20, 2025",855.50,857.35,842.65,843.55,832.30,"26,390,510"
"Feb 19, 2025",858.50,868.95,856.22,863.60,852.08,"11,884,112"
"Feb 18, 2025",856.53,865.78,853.08,861.53,850.04,"16,350,910"
"Feb 17, 2025",842.60,860.00,840.63,858.67,847.22,"12,938,946"
"Feb 14, 2025",850.95,850.95,840.00,847.42,836.12,"19,959,892"
"Feb 13, 2025",849.50,857.13,846.78,848.85,837.53,"12,602,434"
"Feb 12, 2025",846.50,856.00,840.60,853.40,842.02,"22,809,570"
"Feb 11, 2025",851.50,855.50,844.35,850.70,839.35,"22,724,704"
"Feb 10, 2025",858.65,861.72,854.25,857.88,846.43,"17,195,950"
"Feb 7, 2025",875.00,883.50,862.50,866.38,854.82,"23,509,600"
"Feb 6, 2025",867.75,874.50,862.00,871.92,860.30,"26,760,716"
"Feb 5, 2025",866.50,872.10,859.45,868.90,857.31,"23,675,506"
"Feb 4, 2025",844.35,862.90,840.03,860.45,848.97,"28,616,502"
"Feb 3, 2025",835.00,843.40,831.72,839.00,827.81,"20,276,540"
"Feb 1, 2025",848.75,856.50,838.03,845.47,834.20,"5,587,528"
"Jan 31, 2025",843.63,852.35,841.97,849.38,838.05,"15,821,686"
"Jan 30, 2025",840.50,848.95,836.28,845.75,834.47,"25,744,846"
"Jan 29, 2025",837.50,840.58,834.42,838.65,827.47,"12,619,890"
"Jan 28, 2025",823.50,842.15,823.50,835.20,824.06,"30,179,312"
"Jan 27, 2025",820.55,821.80,813.00,814.90,804.03,"22,804,166"
"Jan 24, 2025",830.00,835.15,822.25,824.90,813.90,"24,236,200"
"Jan 23, 2025",843.50,843.50,825.63,832.45,821.35,"34,909,158"
"Jan 22, 2025",821.20,835.95,812.72,833.03,821.92,"30,619,306"
"Jan 21, 2025",829.13,830.53,816.53,821.20,810.25,"31,158,144"
"Jan 20, 2025",813.00,830.47,813.00,825.63,814.61,"17,557,618"
"Jan 17, 2025",821.75,825.25,814.25,818.38,807.46,"23,112,076"
"Jan 16, 2025",826.42,830.28,821.42,826.03,815.01,"21,212,454"
"Jan 15, 2025",828.25,831.35,818.15,821.53,810.57,"14,022,892"
"Jan 14, 2025",819.95,828.10,818.50,823.30,812.32,"26,661,432"
"Jan 13, 2025",820.00,823.38,812.15,815.42,804.55,"21,669,066"
"Jan 10, 2025",835.50,837.45,827.00,828.38,817.33,"17,453,280"
"Jan 9, 2025",842.08,844.50,829.05,833.90,822.78,"40,420,222"
"Jan 8, 2025",854.13,855.83,841.67,847.15,835.85,"19,738,190"
"Jan 7, 2025",857.50,860.50,850.00,856.70,845.27,"13,527,906"
"Jan 6, 2025",870.05,878.60,852.90,855.25,843.84,"18,816,348"
